question,ground_truth,contexts,source_pdf
"Who was acquitted of the charges in the case of Basanti Devi's death, and why?","Kaleshwar Mandal, the husband of the deceased, was acquitted of the charges on the ground that he left the village prior to the occurrence, which means that he was not present at the scene of occurrence.","['The other accused Kaleshwar Mandal, husband of the deceased was acquitted of the charges on the ground that he left the village prior to the occurrence which means that he was not present at the scene of occurrence.', 'Kaleshwar Mandal, husband of the deceased was acquitted of the charges on the ground that he left the village prior to the occurrence, which means that he was not present at the scene of occurrence.']",60348-2007___jonew__judis__40850.pdf
What specific security measures have been recommended for museums in the counter affidavit filed by the Ministry of Culture in response to the writ petition?,"The recommended security measures for museums include four layer coverage for external and internal security, effective Access Control System (ACS), security with a single agency, Standard Operating Procedure (SOP) to be rehearsed at regular intervals, CCTV cameras at different locations, Walkie-Talkie and Intercom facility at each security point, a Control Room to coordinate museum and security staff, Auto Camera at the main entrance, Infra-red Alarm system or Punched Taped Concertina or Electric Fencing at the perimeter of the Museum building, re-enforced grills in the windows, baggage X-Ray machine, Electronic Locks (Magnetic) for all doors of Galleries, Storages and Strong Rooms, Visitor flow to be regulated by Biometric Photography system, internal intelligence staff to be employed, every museum to carry out security audit and impart orientation programme in strategic areas, safe keeping of keys of Museum, a Curator to be deputed for opening and closing of the museum, Gallery locks to be installed, regular drill to be carried out at least once in three months, Spatial Planning for Security which should be aesthetically attractive with a consistent Signage System, service units should not remain in gallery areas, stand-by Automatic Power Back-Up System, bullet-proof glass for vulnerable art objects, jewellery items to be stored in the Strong Room, Infra-red System or painting gallery and Electronic Sensor Tags to be used for displayed objects, 6mm to 8mm thickness of glass should be used for table showcases, Police verification of workers should be carried out, Preventive and Fire Fighting Measures should be adopted, smoke detectors should be installed, Fire alarm system should be installed, Electronic choke should be used in showcases, Tripping system should be strengthened for identification of short circuits, Inspection of fire fighting in the electronic system should be carried out, minimum wooden items should be used in galleries, fire resistant cloth, cupboard and locker should be used for partition, the museum should have technical staff for Curatorial/Technical/Official Management, and records should be maintained properly as per detailed guidelines laid down.","['The recommended security measures for museums include four layer coverage for external and internal security...', '...effective Access Control System (ACS)...', '...security with a single agency...', '...Standard Operating Procedure (SOP) to be rehearsed at regular intervals...', '...CCTV cameras at different locations...', '...Walkie-Talkie and Intercom facility at each security point...', '...a Control Room to coordinate functioning of museum and security staff...', '...Auto Camera at the main entrance...', '...Infra-red Alarm system or Punched Taped Concertina or Electric Fencing should be installed at the perimeter of the Museum building...', '...The grills in the windows should be re-enforced...', '...There should be baggage X-Ray machine...', '...Electronic Locks (Magnetic) for all doors of Galleries, Storages and Strong Rooms...', '...Visitor flow should be regulated by Biometric Photography system...', '...Internal intelligence staff should be employed...', '...Every museum should carry out security audit and impart orientation programme in strategic areas...', '...Safe keeping of keys of Museum should be ensured...', '...A Curator should be deputed for opening and closing of the museum...', '...Gallery locks should be installed...', '...Regular drill should be carried out at least once in three months...', '...There should be Spatial Planning for Security which should be aesthetically attractive with a consistent Signage System...', '...service units should not remain in gallery areas...', '...There should be stand-by Automatic Power Back-Up System...', '...There should be bullet-proof glass for vulnerable art objects...', '...Infra-red System or painting gallery and Electronic Sensor Tags should be used for displayed objects...', '...6mm to 8mm thickness of glass should be used for table showcases...', '...Police verification of workers should be carried out...', '...Preventive and Fire Fighting Measures should be adopted...', '...smoke detectors should be installed...', '...Fire alarm system should be installed...', '...Electronic choke should be used in showcases...', '...Tripping system should be strengthened for identification of short circuits...', '...Inspection of fire fighting in the electronic system should be carried out...', '...Minimum wooden items should be used in galleries...', '...fire resistant cloth, cupboard and locker should be used for partition...', '...The museum should have technical staff for Curatorial/Technical/Official Management...', '...Record should be maintained properly as per detailed guidelines laid down.']",7105-2004___jonew__judis__42348.pdf
"What are the rules regarding the functions of the Parliamentary Committee in the Indian Lok Sabha, as per the Rules of Procedure and Conduct of Business of Lok Sabha?","The Parliamentary Committee in the Indian Lok Sabha has various functions, including considering the Demands for Grants of related Ministries/Departments and reporting thereon, examining Bills pertaining to the related Ministries/Departments referred to the Committee by the Chairman or the Speaker, considering the annual reports of the Ministries/Departments and reporting thereon, and considering national basic long-term policy documents presented to the Houses, if referred to the Committee by the Chairman or the Speaker. The Standing Committees shall not consider matters of day-to-day administration of the related Ministries/Departments.","['Rule 270 of the Rules which deals with the functions of the Parliamentary Committee meant for Committees Rajya Sabha is relevant.', 'Each of the Standing Committees shall have the following functions, namely:— (a) to consider the Demands for Grants of the related Ministries/ Departments and report thereon. The report shall not suggest anything of the nature of cut motions;', 'It is apt to note here that in the case at hand, Rule 270 of the Rules which deals with the functions of the Parliamentary Committee meant for Committees Rajya Sabha is relevant.']",36970-2012___jonew__judis__44775.pdf
"What specific directions were given by the Supreme Court in the case of Voluntary Health Association of Punjab v. Union of India & Others to ensure effective implementation of the Pre-Conception and Pre-Natal Diagnostic Techniques (Prohibition on Sex-Selection) Act, 1994?","The Supreme Court gave the following directions: 1. The Central Supervisory Board and the State and Union Territories Supervisory Boards should meet at least once in six months to supervise and oversee the implementation of the PN&PNDT Act. 2. The State Advisory Committees and District Advisory Committees should gather information relating to the breach of the provisions of the PN&PNDT Act and the Rules and take steps to seize records, seal machines and institute legal proceedings, if they notice violation of the provisions of the PN&PNDT Act. 3. The Committees mentioned above should report the details of the charges framed and the conviction of the persons who have committed the offence, to the State Medical Councils for proper action, including suspension of the registration of the unit and cancellation of licence to practice. 4. Steps should be taken by the authorities to ensure that all Genetic Counselling Centres, Genetic Laboratories, Clinics etc. maintain all records and forms required to be maintained under the Act and the Rules and the duplicate copies of the same be sent to the concerned District Authorities, in accordance with Rule 9(8) of the Rules. 5. States and District Advisory Boards should ensure that all manufacturers and sellers of ultrasonography machines do not sell any machine to any unregistered centre, as provided under Rule 3-A and disclose, on a quarterly basis, to the concerned State/Union Territory and Central Government, a list of persons to whom the machines have been sold, in accordance with Rule 3-A(2) of the Act. 6. There will be a direction to all Genetic Counselling Centres, Genetic Laboratories, Clinics etc. to maintain forms A, E, H and other Statutory forms provided under the Rules and if these forms are not properly maintained, appropriate action should be taken by the authorities concerned. 7. Steps should also be taken by the State Government and the authorities under the Act for mapping of all registered and unregistered ultrasonography clinics, in three months' time. 8. Steps should be taken by the State Governments and the Union Territories to educate the people of the necessity of implementing the provisions of the Act by conducting workshops as well as awareness camps at the State and District levels. 9. Special Cell be constituted by the State Governments and the Union Territories to monitor the progress of various cases pending in the Courts under the Act and take steps for their early disposal. 10. The authorities concerned should take steps to seize the machines which have been used illegally and contrary to the provisions of the Act and the Rules thereunder and the seized machines can also be confiscated under the provisions of the Code of Criminal Procedure and be sold, in accordance with law. 11. The various Courts in this country should take steps to dispose of all pending cases under the Act, within a period of six months. Communicate this order to the Registrars of various High Courts, who will take appropriate follow up action with due intimation to the concerned Courts. All the State Governments are directed to file a status report within a period of three months from today.","['Steps should be taken by the Central Supervisory Board and the State and Union Territories Supervisory Boards...', 'The State Advisory Committees and District Advisory Committees should gather information...', 'The Committees mentioned above should report the details of the charges framed...', 'Steps should be taken by the authorities to ensure that all Genetic Counselling Centres...', 'States and District Advisory Boards should ensure that all manufacturers and sellers of ultrasonography machines...', 'There will be a direction to all Genetic Counselling Centres...', 'Steps should also be taken by the State Government and the authorities under the Act...', 'Special Cell be constituted by the State Governments and the Union Territories...', 'The authorities concerned should take steps to seize the machines...', 'The various Courts in this country should take steps...', 'All the State Governments are directed to file a status report within a period of three months from today.']",18799-2006___jonew__judis__40111.pdf
"Given the case details provided, can the impugned Conduct Rule (Rule 29 of the U.P. Government Servant Conduct Rules, 1956) be considered as violative of Article 25 of the Constitution, considering the legal precedents set in Javed vs. State of Haryana and Sarla Mudgal vs. Union of India?","No, the impugned Conduct Rule cannot be considered as violative of Article 25 of the Constitution, considering the legal precedents set in Javed vs. State of Haryana and Sarla Mudgal vs. Union of India.","['The matter is no longer res integra.', 'In Javed vs. State of Haryana, this Court dealt with the issue in question and held that what was protected under Article 25 was the religious faith and not a practice which may run counter to public order, health or morality.', 'Polygamy was not integral part of religion and monogamy was a reform within the power of the State under Article 25.']",36213-2011___jonew__judis__42361.pdf
"According to the provided document, what was the charter fee payable by the assessee to the non-resident company, and on what basis was it payable?","The charter fee payable by the assessee to the non-resident company was US $ 600,000 per vessel per annum. It was payable from the earnings from the sale of fish, and 85% of the gross earnings from the sale of fish was to be paid to the non-resident company.","['The charter fee is inclusive of fuel cost, maintenance repairs, wages, food for the crew and any other expenses incurred in connection with the operation of the vessel.', 'According to the terms of the agreement, the Trawlers were to be delivered at Chennai Port for commencement of fishing operation.']",19604-2002___jonew__judis__36452.pdf
"Given the case details provided in the document, what was the sentence imposed on the appellant (accused No.1) by the High Court?",The High Court sentenced the appellant (accused No.1) to undergo simple imprisonment for 7 years under Section 304-B/34 IPC.,"['The High Court, by impugned judgment, dismissed the appeal in respect of the present appellant–accused No.1 and allowed the appeal in respect of accused No.2 by acquitting her of the charges.', 'By impugned judgment, the High Court dismissed the appeal in respect of the present appellant–accused No.1 and upheld her conviction. Challenging the said judgment, accused No.1 has filed this appeal by way of special leave.']",6016-2011___jonew__judis__42308.pdf
"Given the Modified Voluntary Retirement Scheme (MVRS) that was propounded by appellant No.3, was the respondent's resignation accepted under the MVRS conditional or unconditional?",The respondent's resignation was accepted under the MVRS unconditionally.,"['The resignation was sought to be brought into force forthwith with the only request that payment of all benefits of service be disbursed promptly.', 'All that was stated in the letter was a request to accept the resignation of the respondent by making sure payment of all benefits of his service period.']",2390-2020___supremecourt__2020__2390__2390_2020_36_1501_30326_Judgement_27-Sep-2021.pdf
"Given the context of the legal document, what was the question of law that was formulated at the time of admission of the appeal in the Second Appeal No. 703/1992?","The question of law that was formulated at the time of admission of the appeal in the Second Appeal No. 703/1992 was: 'Whether the sale deed executed by the de facto guardian on behalf of the minor, without the permission of the court, could be held to be valid?'","['The substantial question of law which was formulated at the time of admission of the appeal was as follows:', 'Whether the sale deed executed by the de facto guardian on behalf of the minor, without the permission of the court, could be held to be valid ?']",24007-2002___jonew__judis__38030.pdf
"What are the two possible interpretations of Article 27 of the Indian Constitution, as discussed in the Supreme Court's order in Writ Petition (civil) No.1 OF 2007, and how does the court lean towards interpreting it?","The two possible interpretations of Article 27 of the Indian Constitution are: (1) Article 27 is attracted only when the statute by which the tax is levied specifically states that the proceeds of the tax will be utilized for a particular religion. (2) Article 27 will be attracted even when the statute is a general statute, like the Income Tax Act or the Central Excise Act or the State Sales Tax Acts (which do not specify for what purpose the proceeds will be utilized) provided that a substantial part of such proceeds are in fact utilized for a particular religion. In the court's opinion, Article 27 will be attracted in both these eventualities.","['Article 27 will be attracted in both these eventualities.', 'In our opinion Article 27 will be attracted in both these eventualities.']",33255-2006___jonew__judis__37406.pdf
"Given the case details provided in the document, what is the final verdict of the Supreme Court in this case?","The final verdict of the Supreme Court in this case is that Respondent No.1 is convicted for having committed the offence under Section 376(1) IPC and sentenced to undergo imprisonment for seven years and also impose a fine of Rs.5,000/-, which in its entirety shall be made over to the Appellant. In the event such fine is not deposited, Respondent No.1 shall undergo further sentence of simple imprisonment for six months.","[""The appeal is allowed and the appellant's testimony is found completely trustworthy and reliable."", ""The final judgment is pronounced by Hon'ble Mr. Justice Uday Umesh Lalit.""]",15189-1999___jonew__judis__42604.pdf
"Given the court case details provided, what was the final verdict of the Supreme Court of India in Criminal Appeal No.1581 of 2009?","The final verdict of the Supreme Court of India in Criminal Appeal No.1581 of 2009 was to convict Respondent No.1 for having committed the offence under Section 376(1) IPC and sentence him to undergo imprisonment for seven years and also impose a fine of Rs.5,000/-, which in its entirety shall be made over to the Appellant. In the event such fine is not deposited, Respondent No.1 shall undergo further sentence of simple imprisonment for six months. However, the acquittal of Respondent No.1 for the offence under Section 3(2)(V) of the Act was confirmed.","['Convict Respondent No.1 for having committed the offence under Section 376(1) IPC', 'sentence him to undergo imprisonment for seven years and also impose a fine of Rs.5,000/-', 'In the event such fine is not deposited, Respondent No.1 shall undergo further sentence of simple imprisonment for six months', 'However, the acquittal of Respondent No.1 for the offence under Section 3(2)(V) of the Act was confirmed']",30951-2008___jonew__judis__42585.pdf
"Given the context of the provided legal document, what is the interpretation of the Indian law regarding the necessity of an unwed mother to specifically notify the putative father of the child before she can be appointed as the guardian of her child?","The Indian law does not require an unwed mother to specifically notify the putative father of the child before she can be appointed as the guardian of her child. The court exercises paren patrae jurisdiction in custody or guardianship wrangles and steps in to secure the welfare of the child, prioritizing the child's interest over the rights of the parents.","['The Court exercises paren patrae jurisdiction in custody or guardianship wrangles; it steps in to secure the welfare of the hapless child of two adults whose personal differences and animosity has taken precedence over the future of their child.', 'As per Section 7 of the Act, the interest of the minor is the only relevant factor for appointing of a guardian, and the rights of the mother and father are subservient thereto.']",30123-2011___jonew__judis__42759.pdf
"What is the power of the Central Government and the Council of Architecture (CoA) regarding the recognition and amendment of architectural qualifications, as per the Architects Act, 1972 and the All India Council for Technical Education Act, 1987?","The Central Government has the power to amend the schedule of architectural qualifications under Section 16 of the Architects Act, 1972. The CoA, on the other hand, can lay down norms and standards for courses, curricula, physical and instructional facilities, staff pattern, staff qualifications, quality instructions, assessment and examinations, fix norms and guidelines for charging tuition and other fees, grant approval for starting new technical institutions and for introduction of new courses or programmes, lay down norms for granting autonomy to technical institutions, and provide guidelines for admission of students to technical institutions under the All India Council for Technical Education Act, 1987.","['Section 16 of the 1972 Act', 'Section 10 of the 1987 Act', 'The Central Government, after consultation with the Council, may, by notification in the Official Gazette, amend the Schedule by directing that an entry be made therein in respect of any architectural qualification.', 'It shall be the duty of the Council to take all such steps as it may think fit for ensuring coordinated and integrated development of technical education and maintenance of standards and for the purposes of performing its functions under this Act, the Council may... lay down norms and standards for courses, curricula, physical and instructional facilities, staff pattern, staff qualifications, quality instructions, assessment and examinations...']",27284-2004___supremecourt__2004__27284__27284_2004_16_1501_18087_Judgement_08-Nov-2019.pdf
"What was the initial judgment in Criminal Appeal No.1042 of 1999 passed by the High Court of Karnataka, and what sentences were imposed on the appellant for the offences under Section 304-B and Section 498-A of the IPC?","The initial judgment in Criminal Appeal No.1042 of 1999 passed by the High Court of Karnataka reversed the judgment of acquittal dated 2nd August, 1999 passed by the Xth Additional City Sessions Judge at Bangalore in SC No.86/96. The appellant was convicted for the offences under Section 304-B and Section 498-A of the IPC. The Appellate Court imposed a sentence of rigorous imprisonment for seven years for the offence punishable under Section 304-B of the IPC and rigorous imprisonment for two years and to pay a fine of Rs.10,000, in default, to undergo simple imprisonment for three months for the offence punishable under Section 498-A of the IPC. The sentences shall run concurrently.","['The appellant was convicted for the offences under Section 304-B and Section 498-A of the IPC.', 'The Appellate Court imposed a sentence of rigorous imprisonment for seven years for the offence punishable under Section 304-B of the IPC and rigorous imprisonment for two years and to pay a fine of Rs.10,000, in default, to undergo simple imprisonment for three months for the offence punishable under Section 498-A of the IPC.']",7871-2006___jonew__judis__40515.pdf
"Given the legal document, can the petitioner bypass the normal procedure of appeal or reference to the High Court and approach the Supreme Court under Article 136 of the Constitution for the exercise of discretionary power, if the case does not meet the requirement of statutory provisions for divorce?","No, the power under Article 136 cannot be used to bypass the normal procedure of appeal or reference to the High Court unless a question of principle of great importance arises. It has to be exercised exceptionally and with caution and only in extraordinary situations.","['The power under Article 136 cannot be used to short circuit the legal procedure prescribed...', 'More so, such power is to be exercised taking into consideration the well established principles which govern the exercise of overriding constitutional powers...', 'This Court generally does not permit a party to by-pass the normal procedure of appeal or reference to the High Court unless a question of principle of great importance arises...', 'It has to be exercised exceptionally and with caution and only in such an extra-ordinary situations...', 'More so, such power is to be exercised taking into consideration the well established principles which govern the exercise of overriding constitutional powers (vide Dhakeswari Cotton Mills Ltd. v. Commissioner of Income Tax, West Bengal AIR 1955 SC 65; The Union of India v. Kishorilal Gupta & Bros. AIR 1959 SC 1362; Murtaza & Sons & Anr. v. Nazir Mohd. Khan & Ors. AIR 1970 SC 668;  Sirpur Paper Mills Ltd. v. Commissioner of Wealth Tax, Hyderabad AIR 1970 SC 1520; The Municipal Corporation, Bhopal v. Misbahul Hasan & Ors.  AIR 1972 SC 892; Delhi Judicial Service Association, Tis Hazari Court, Delhi v. State of Gujarat and Ors. AIR 1991 SC 2176; Tirupati Balaji Developers Pvt. Ltd. & Ors. v. State of Bihar & Ors. AIR 2004 SC 2351; and F.G.P. Ltd. v. Saleh Hooseini Doctor (2009) 10 SCC 223)']",1198-2010___jonew__judis__36283.pdf
"Who were the defendants in Partition Suit No. 35 of 1941, and what was the subject matter of the partition for the Sirsia Gaddi properties?","Defendants in Partition Suit No. 35 of 1941 were Mahadev Sah, son of Devi Sah and grandson of Gudar Sah, Bharat Sah and Rajendra Prasad Sah, son of Akal Sah and grandson of Gudar Sah, Pulkit Sah and Ram Iqbal Sah, sons of Bharat Sah and grandson of Akal Sah, Parmeshwar Sah and Nageshwar Sah, belonging to the Shibshankar Sah group, Banaras Sah, son of Parmeshwar Sah, Jagannath Sah and Jang Bahadur Sah and Chandra Sah, sons of Nageshwar Sah. The subject matter of the partition for the Sirsia Gaddi properties was inter se Gudar Sah group.","['The partition suit No. 35 of 1941 was filed by Mahadev Sah, son of Devi Sah against other members of the Gudar Sah group seeking his personal share in Sirsia Gaddi properties allocated to Gudar Sah group in the partition in 1921 and against both Gudar Sah and Shibshankar Sah groups in respect of the Sursand Gaddi properties.', 'The properties of Sirsia Gaddi which fell in the 2/3rd share of Gudar Sah group on partition in 1921(1328 Fs.) and in respect of which Mahadev Sah, son of Devi Sah, had sought partition from Gudar Sah group in Suit No.35/1941 were specifically and categorically mentioned in the Schedule to the plaint.']",35124-2009___supremecourt__2009__35124__35124_2009_12_1501_29818_Judgement_07-Sep-2021.pdf
"Given the case details provided, did the Supreme Court of India rule that the conduct of the respondent constitutes mental cruelty justifying dissolution of marriage?","Yes, the Supreme Court of India ruled that the conduct of the respondent constitutes mental cruelty justifying dissolution of marriage.","['The Court allowed the appellant’s suit for dissolution of marriage and simultaneously dismissed the respondent’s petition for restitution of conjugal rights.', 'The Court gave a finding that the respondent had subjected the appellant to mental cruelty with her complaints to the Army and other authorities.']",28114-2019___supremecourt__2019__28114__28114_2019_43_1501_26512_Judgement_26-Feb-2021.pdf
"What was the High Court's decision regarding the petition filed by the appellant under Section 482 of the Code of Criminal Procedure, praying for quashing of the proceedings in Balumath P.S. Case No. 68 of 2006 (corresponding to G.R. Case No. 445 of 2006) against the appellant and others?",The High Court considered the pleas raised by the parties and held that the case is a case of dowry death and that the appellant is the husband. It was also held that the points taken by the appellant before the High Court are rather a defence case and that the same relates to factual dispute. The Court also referred to the decision of the Supreme Court in State of Haryana v. Bhajan Lal and stated that the Court in exercise of its jurisdiction under Section 482 of the Code of Criminal Procedure cannot delve into such factual controversy so as to quash the proceedings.,"['The appellant filed a petition under Section 482 of the Code of Criminal Procedure praying for quashing of the proceeding in the aforesaid manner.', 'The High Court considered the pleas raised by the parties and thereafter held that the case is a case of dowry death and that the appellant is the husband.']",35302-2009___jonew__judis__38649.pdf
"What are the conditions for a person to be vicariously liable under Section 22C(1) of the Minimum Wages Act, 1948, and how does the proviso in this section affect the onus of proof?","For a person to be vicariously liable under Section 22C(1) of the Minimum Wages Act, 1948, they must have been in charge of and responsible for the conduct of the business of the company at the time the offence was committed. The proviso in this section places the onus to prove the exception on the accused, but it does not reverse the onus under the main provision, which remains on the prosecution.","['Every person who at the time the offence was committed was in charge of, and was responsible to the company for the conduct of the business of the company as well as the company itself shall be deemed to be guilty of the offence.', 'The proviso, which is in the nature of an exception, states that a person who is liable under sub-section (1) shall not be punished if he proves that the offence was committed without his knowledge or that he exercised all due diligence to prevent the commission of such offence.']",17576-2020___supremecourt__2020__17576__17576_2020_46_1501_30986_Judgement_29-Oct-2021.pdf
